Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=7af1798e214d4067,Support Engineer _ Devices & IoT,Microsoft 4.2 서울,,"skills • Strong C/C++ coding skills, along with Python, C# and Java • Azure/AWS cloud development experience • Excellent..."
https://kr.indeed.com/viewjob?jk=440c7485ae06b439,Back-End Web 개발자,한국사이버결제 서울 구로구,,"및 유지 보수 업무 자격요건 - 경력사항 : 만 4 ~ 10년 (대리 ~ 과장) - 개발언어 : Java, Javascr-ipt, jQuery - 데이터베이스 : RDBMS - fra-mework : Spring..."
https://kr.indeed.com/viewjob?jk=f6fe4d192f210bc7,퀀트 개발자 (Quant Developer),ATZ Inc. 서울,"연봉 30,000,000원 - 40,000,000원","C++/C#/Python/ Java/Node.js)* Experience... programming languages) C/C++/C#/Python/ Java R/Excel 모델링 경험이 있어야 합니다. 알고리즘, 데이터자료..."
https://kr.indeed.com/viewjob?jk=21f720e55bab4c8d,카카오톡 서버 개발자,카카오 4.2 성남 판교역,,"양한 앱서버와 DB, 캐시, MQ 등으로 구성된 시스템을 설계하고 주로 Java, Kotlin / Spring 프레임웍을 기반으로 하는 앱서버를 개발... 원자격 우대 사항 ✓ Spring/ Java 혹은 Spring/Kotlin..."
https://kr.indeed.com/viewjob?jk=61ecdc0ef3cfb66a,[경력] 빅데이터 플랫폼 엔지니어,카카오 4.2 성남 판교역,,"필요한 기술 연구 및 도입 지원자격 <기술> 전산 전공 또는 그에 준하는 실무 경험을 갖추신 분 Java 필수, 그 외 Scala, Python, Ruby 중 1개 이상 언어로 개발 가능하신 분 하둡 플랫폼에 대한..."
https://kr.indeed.com/viewjob?jk=415e0c493a6145b7,DBA (경력 3년이상),TRICONI 서울,,"*【 자격요건... 정규대졸이상 전산관련학과 우대 - ORACLE, Query 튜닝 경험자 - Java, 프로시저 개발 가능한자 - Migration 경험자 우대 【 제출서류 】 \* 한글이력서와 경력소개서 (ASAP..."
https://kr.indeed.com/viewjob?jk=93ce06661c1a144e,JAVA / JSP / Spring / 하이브리드 앱 개발자,에프티에치코리아 용인 처인구,,"년) 성별 무관 기타 담당업무 JAVA / JSP / Spring / 하이... 절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머JSP, JAVA 응용프로그래머Application 산업별(업종) 솔루션.ASP.소프트..."
https://kr.indeed.com/viewjob?jk=421623032a9d5714,HW/SW 분야에 직무 교육 전문 강사,에이치에스글로벌 서울 강남구,,습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>Visual C++(MFC·ATL)|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=8405cf7fad057a1a,글로벌 소비재기업 APAC담당 Sr. Enterprise Architec...,글로벌 소비재기업 서울,"연봉 80,000,000원 - 150,000,000원","technology (AWS, Azure etc... any programming language ( Java, Python etc.) • Good understanding and functional knowledge..."
https://kr.indeed.com/viewjob?jk=c534734c041454d8,빅데이터 활용 개발 경력사원,네이버 대한민국,,"구축 및 개발 경험 - Python, Shell Programming 경험이 있으신 분 - Python, java, shell 등등에 대해 능숙하게 다룰 수 있는 언어가 하나 이상 있는 분 [우대사항] - OLAP 기반..."
https://kr.indeed.com/viewjob?jk=a9a8c4f3abcd02de,화상 처리 시스템 S/W 개발 엔지니어,유플러스엔지니어링 성남 분당구,,"개발 경험자 우대 (검사장비 S/W, 개발, 응용프로그램 개발) 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#"
https://kr.indeed.com/viewjob?jk=3190803dba63c314,동영상 데이터/비즈 플랫폼 서버 개발자,카카오 4.2 성남 판교역,,"동영상 비즈 플랫폼 개발 동영상 광고 서버 개발 동영상 데이터 수집/분석 지원자격 기본 조건 Java 개발 경력 2년 이상 Spring Framework 기반 웹 애플리케이션 개발 경험 MySQL, MongoDB 등의..."
https://kr.indeed.com/viewjob?jk=07678134777232ee,웹개발 / 웹디자인 퍼블리셔 직원 및 사무업무 보조직원 (보조가능),제이투모로우원 광주 북구,"월급 1,800,000원 - 2,000,000원","출서류 제출서류 이력서에 응시분야, 연락처, 희망연봉 기재 포트폴리오 직무/산업 직무별(직종) 콘텐츠.사이트운영디버깅 웹프로그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA, PHP, CGI, XML"
https://kr.indeed.com/viewjob?jk=e010f7780d479126,검색서비스 서버 개발 신입/경력,포티투마루 서울 관악구,,"가능) - 성별 : 무관 - 모집인원 : 0명 [기술 지원자격] - Linux 환경 개발 경력 - C/ Java/Python 개발 경력 - 서버 개발/운영 경력 [우대사항] - 자연어처리, 정보검색, 기계학습..."
https://kr.indeed.com/viewjob?jk=d4bd36ed9ecd0628,판타지볼(fantasyballcokr) 게임 운영 / 개발 & 외주업체...,아이스라이트 서울 영등포구,,정통 판타지 스포츠 게임인 ‘판타지볼’을 개발 및 운영하고 있습니다. 필요경력/스킬: - 4년+ 개발 경력 - JAVA Specialist (spring framework / maven) - Architecturing 능력...
